
ID_VENTA,FECHA_VENTA,HORA_VENTA,CATEGORIA,NOMBRE_PRODUCTO,PRECIO,TIPO_PAGO,CANTIDAD,TOTAL,ESTADO
40,20260516,09.52.21 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
41,20260402,07.17.52 Pm,Bebidas Calientes,Café Americano,85,Efectivo,1,85,Pagada
42,20260322,02.54.39 Am,Desayunos,Empanada de Queso,60,Efectivo,1,60,Pagada
43,20260330,08.04.27 Am,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
44,20260528,09.38.11 Am,Desayunos,Empanada de Queso,60,Efectivo,2,120,Pagada
45,20260429,04.11.30 Am,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,3,255,Pagada
46,20260326,03.09.18 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,2,700,Pagada
47,20260330,11.47.30 Am,Comida Rápida,Hamburguesa Clásica,250,Transferencia Bancaria,2,500,Pagada
48,20260413,09.47.16 Am,Comida Rápida,Hamburguesa Clásica,250,Efectivo,3,750,Pagada
49,20260522,07.31.13 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
50,20260502,03.12.13 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,2,700,Pagada
51,20260315,03.14.22 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,1,60,Pagada
52,20260329,12.13.05 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,2,180,Pagada
53,20260530,04.31.40 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Cancelada
54,20260521,01.52.56 Pm,Comida Rápida,Porción de Pizza,120,Efectivo,4,480,Pagada
55,20260522,04.28.50 Am,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,4,240,Pagada
56,20260411,04.03.22 Pm,Bebidas Calientes,Café Americano,85,Efectivo,4,340,Pagada
57,20260515,08.32.52 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Cancelada
58,20260603,05.38.30 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
59,20260515,01.27.23 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
60,20260528,01.54.52 Am,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
61,20260602,09.03.47 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,4,240,Pagada
62,20260518,07.27.16 Am,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
63,20260515,04.43.51 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
64,20260410,09.45.52 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
65,20260319,05.12.35 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
66,20260423,06.45.45 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
67,20260525,05.31.17 Am,Comida Rápida,Hamburguesa Clásica,250,Efectivo,1,250,Pagada
68,20260424,11.25.38 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,3,270,Pagada
69,20260322,05.19.20 Pm,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,3,360,Pagada
70,20260518,09.57.54 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,4,340,Pagada
71,20260412,04.34.25 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,4,1000,Pagada
72,20260512,08.50.04 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,2,240,Pagada
73,20260404,02.17.41 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,3,1050,Pagada
74,20260328,05.05.42 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,1,120,Pagada
75,20260521,04.32.27 Pm,Desayunos,Empanada de Queso,60,Efectivo,4,240,Cancelada
76,20260319,05.46.26 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,1,350,Pagada
77,20260322,05.56.29 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
78,20260330,12.42.09 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,2,180,Pagada
79,20260401,11.30.16 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
80,20260419,06.35.36 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
81,20260315,03.28.43 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,2,170,Pagada
82,20260527,12.49.42 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,3,1050,Pagada
83,20260326,12.40.14 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,2,120,Pagada
84,20260317,09.25.50 Pm,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
85,20260405,09.21.23 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
86,20260604,06.20.15 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,4,1400,Pagada
87,20260320,08.30.30 Pm,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,3,255,Pagada
88,20260502,12.30.57 Pm,Comida Rápida,Hamburguesa Clásica,250,Transferencia Bancaria,4,1000,Pagada
89,20260605,10.03.36 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,1,90,Pagada
90,20260603,02.39.18 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
91,20260326,02.43.14 Am,Desayunos,Empanada de Queso,60,Efectivo,3,180,Pagada
92,20260328,03.38.15 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,2,240,Pagada
93,20260505,06.43.15 Am,Comida Rápida,Porción de Pizza,120,Efectivo,1,120,Pagada
94,20260312,04.46.39 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,1,90,Pagada
95,20260430,12.57.52 Am,Comida Rápida,Porción de Pizza,120,Efectivo,2,240,Pagada
96,20260325,03.36.42 Pm,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,2,700,Pagada
97,20260309,03.39.01 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,4,240,Pagada
98,20260424,08.46.42 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
99,20260526,11.29.24 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
100,20260311,04.42.41 Am,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
101,20260430,01.47.53 Pm,Desayunos,Empanada de Queso,60,Efectivo,2,120,Pagada
102,20260423,08.13.40 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,3,360,Pagada
103,20260320,10.05.36 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
104,20260321,12.32.14 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
105,20260520,06.31.55 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Cancelada
106,20260602,09.23.18 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,2,180,Pagada
107,20260604,10.45.00 Pm,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
108,20260521,11.29.46 Pm,Comida Rápida,Porción de Pizza,120,Efectivo,2,240,Pagada
109,20260415,07.32.37 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,1,90,Pagada
110,20260409,01.57.47 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,1,120,Pagada
111,20260319,12.18.23 Pm,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
112,20260403,09.03.50 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
113,20260320,12.34.09 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
114,20260425,05.56.42 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
115,20260422,04.11.43 Pm,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,1,350,Pagada
116,20260417,09.24.00 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,2,240,Pagada
117,20260413,09.14.37 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,4,1400,Pagada
118,20260605,10.22.44 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
119,20260416,02.19.07 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,4,240,Pagada
120,20260528,08.46.19 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,3,180,Pagada
121,20260604,06.07.39 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
122,20260406,10.59.33 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Pagada
123,20260526,11.05.47 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
124,20260325,01.12.42 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Cancelada
125,20260424,03.24.24 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,3,180,Pagada
126,20260429,02.42.22 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
127,20260429,04.09.36 Pm,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,3,1050,Pagada
128,20260410,04.07.29 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,3,750,Pagada
129,20260408,09.45.11 Pm,Comida Rápida,Porción de Pizza,120,Efectivo,4,480,Cancelada
130,20260603,11.52.22 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
131,20260426,02.03.01 Am,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,1,85,Pagada
132,20260415,12.52.12 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,1,85,Pagada
133,20260407,10.23.42 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
134,20260322,03.03.30 Am,Comida Rápida,Hamburguesa Clásica,250,Efectivo,3,750,Pagada
135,20260329,10.38.36 Am,Bebidas Calientes,Café Americano,85,Efectivo,1,85,Pagada
136,20260401,09.00.26 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
137,20260416,04.39.24 Am,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,3,180,Pagada
138,20260320,07.28.21 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,1,120,Pagada
139,20260412,08.42.44 Pm,Comida Rápida,Hamburguesa Clásica,250,Efectivo,2,500,Pagada
140,20260419,05.14.25 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
141,20260320,07.12.16 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Cancelada
142,20260314,05.18.05 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,4,1000,Cancelada
143,20260317,04.50.42 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
144,20260309,08.54.37 Am,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,3,180,Pagada
145,20260522,06.05.55 Am,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,2,170,Pagada
146,20260519,10.00.26 Am,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,3,360,Pagada
147,20260422,06.57.06 Pm,Comida Rápida,Hamburguesa Clásica,250,Efectivo,4,1000,Pagada
148,20260517,12.02.42 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
149,20260309,12.07.39 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,4,1000,Pagada
150,20260309,12.23.35 Am,Comida Rápida,Hamburguesa Clásica,250,Efectivo,3,750,Pagada
151,20260321,02.59.41 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
152,20260605,09.25.03 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
153,20260518,04.40.28 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,4,1400,Pagada
154,20260320,03.22.10 Am,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
155,20260426,04.30.03 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,1,120,Pagada
156,20260327,08.21.18 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
157,20260314,05.15.01 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,1,350,Cancelada
158,20260501,04.37.04 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,2,180,Pagada
159,20260502,08.26.53 Pm,Bebidas Calientes,Café Americano,85,Efectivo,2,170,Pagada
160,20260517,07.18.39 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,1,60,Pagada
161,20260502,06.55.07 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,2,180,Pagada
162,20260422,03.21.01 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
163,20260605,06.06.43 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
164,20260330,08.10.35 Pm,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
165,20260530,12.03.22 Am,Comida Rápida,Hamburguesa Clásica,250,Efectivo,1,250,Pagada
166,20260510,07.31.55 Am,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
167,20260525,09.22.28 Pm,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,1,60,Pagada
168,20260420,09.23.47 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,2,170,Pagada
169,20260524,11.08.43 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,2,170,Pagada
170,20260309,11.04.43 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
171,20260518,07.02.11 Pm,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,2,240,Pagada
172,20260308,03.14.03 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,3,255,Pagada
173,20260425,06.23.40 Am,Desayunos,Empanada de Queso,60,Efectivo,1,60,Pagada
174,20260408,05.04.09 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,4,1400,Pagada
175,20260326,06.46.34 Am,Postres,Helado Sencillo,90,Efectivo,4,360,Cancelada
176,20260417,07.55.57 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
177,20260603,12.23.28 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
178,20260403,02.22.51 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
179,20260406,03.16.06 Pm,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
180,20260511,11.45.48 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,1,85,Pagada
181,20260423,01.13.27 Pm,Comida Rápida,Porción de Pizza,120,Efectivo,4,480,Pagada
182,20260605,11.44.04 Am,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
183,20260423,08.36.07 Am,Postres,Helado Sencillo,90,Efectivo,1,90,Pagada
184,20260409,10.58.36 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Pagada
185,20260509,08.10.20 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,4,240,Cancelada
186,20260531,12.14.11 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,4,340,Pagada
187,20260426,05.15.35 Pm,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,1,85,Pagada
188,20260310,03.34.55 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,2,700,Pagada
189,20260511,10.17.09 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,4,480,Pagada
190,20260408,06.59.53 Pm,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,4,480,Pagada
191,20260320,01.42.35 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,4,1400,Pagada
192,20260322,10.26.59 Pm,Bebidas Calientes,Café Americano,85,Efectivo,4,340,Pagada
193,20260310,02.50.46 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,4,1000,Pagada
194,20260414,02.15.49 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
195,20260419,05.05.51 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,2,120,Pagada
196,20260530,07.31.16 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,1,90,Pagada
197,20260503,07.31.42 Pm,Bebidas Calientes,Café Americano,85,Efectivo,1,85,Pagada
198,20260405,06.15.30 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
199,20260511,05.39.47 Am,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,1,120,Pagada
200,20260522,09.14.59 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
201,20260523,09.47.14 Pm,Desayunos,Empanada de Queso,60,Efectivo,4,240,Pagada
202,20260519,08.21.17 Am,Comida Rápida,Porción de Pizza,120,Efectivo,3,360,Pagada
203,20260406,06.21.03 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,2,700,Pagada
204,20260509,07.24.41 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,3,1050,Pagada
205,20260605,05.24.09 Am,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
206,20260429,12.34.13 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
207,20260515,09.01.15 Pm,Comida Rápida,Hamburguesa Clásica,250,Transferencia Bancaria,4,1000,Pagada
208,20260315,11.01.03 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,1,250,Pagada
209,20260605,10.56.42 Am,Desayunos,Empanada de Queso,60,Transferencia Bancaria,3,180,Pagada
210,20260320,03.49.41 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,4,340,Pagada
211,20260514,02.39.49 Pm,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,1,350,Cancelada
212,20260405,10.00.01 Pm,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,2,170,Pagada
213,20260417,05.19.45 Am,Postres,Helado Sencillo,90,Efectivo,2,180,Pagada
214,20260403,12.19.02 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
215,20260527,06.32.30 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,4,360,Pagada
216,20260331,11.42.39 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,2,240,Pagada
217,20260324,02.27.44 Pm,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,3,1050,Pagada
218,20260313,01.19.20 Pm,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
219,20260603,01.36.31 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,4,240,Pagada
220,20260330,08.21.04 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,3,1050,Cancelada
221,20260509,10.05.39 Am,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,3,360,Pagada
222,20260506,08.53.52 Am,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,3,270,Pagada
223,20260319,03.38.48 Pm,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
224,20260510,03.00.30 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,4,1400,Pagada
225,20260525,11.41.46 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Cancelada
226,20260530,03.00.27 Am,Bebidas Calientes,Café Americano,85,Tarjeta de Crédito/Débito,2,170,Pagada
227,20260518,06.45.39 Am,Plato Fuerte,Servicio de Comida China,350,Efectivo,3,1050,Pagada
228,20260417,09.26.33 Pm,Desayunos,Empanada de Queso,60,Transferencia Bancaria,3,180,Pagada
229,20260515,12.54.42 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,3,360,Pagada
230,20260428,10.30.06 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,1,350,Pagada
231,20260415,09.55.25 Am,Comida Rápida,Porción de Pizza,120,Tarjeta de Crédito/Débito,4,480,Pagada
232,20260511,01.41.16 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,2,700,Pagada
233,20260329,08.09.18 Pm,Bebidas Calientes,Café Americano,85,Transferencia Bancaria,1,85,Pagada
234,20260324,08.45.38 Am,Comida Rápida,Hamburguesa Clásica,250,Tarjeta de Crédito/Débito,2,500,Pagada
235,20260324,12.04.25 Pm,Comida Rápida,Hamburguesa Clásica,250,Efectivo,4,1000,Pagada
236,20260410,06.31.16 Pm,Postres,Helado Sencillo,90,Tarjeta de Crédito/Débito,2,180,Pagada
237,20260410,07.58.18 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,1,350,Pagada
238,20260522,11.49.43 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,2,700,Pagada
239,20260420,05.52.02 Am,Postres,Helado Sencillo,90,Efectivo,2,180,Pagada
240,20260428,09.18.58 Am,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
241,20260410,09.55.10 Pm,Plato Fuerte,Servicio de Comida China,350,Efectivo,3,1050,Pagada
242,20260308,09.17.40 Am,Postres,Helado Sencillo,90,Transferencia Bancaria,4,360,Pagada
243,20260319,11.21.54 Pm,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,2,240,Pagada
244,20260426,08.04.13 Am,Postres,Helado Sencillo,90,Efectivo,2,180,Pagada
245,20260504,01.23.31 Am,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
246,20260310,06.05.35 Am,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
247,20260514,03.31.18 Am,Comida Rápida,Porción de Pizza,120,Transferencia Bancaria,3,360,Pagada
248,20260322,09.29.19 Am,Desayunos,Empanada de Queso,60,Tarjeta de Crédito/Débito,1,60,Pagada
249,20260311,09.11.15 Pm,Postres,Helado Sencillo,90,Efectivo,3,270,Pagada
250,20260420,11.33.54 Pm,Plato Fuerte,Servicio de Comida China,350,Tarjeta de Crédito/Débito,1,350,Pagada
251,20260506,11.09.28 Pm,Comida Rápida,Hamburguesa Clásica,250,Transferencia Bancaria,2,500,Pagada
252,20260309,02.59.45 Am,Bebidas Calientes,Café Americano,85,Efectivo,3,255,Pagada
253,20260319,07.05.25 Am,Postres,Helado Sencillo,90,Efectivo,4,360,Pagada
254,20260429,07.46.19 Am,Plato Fuerte,Servicio de Comida China,350,Transferencia Bancaria,4,1400,Pagada
255,20260512,11.45.44 Am,Desayunos,Empanada de Queso,60,Efectivo,3,180,Pagada
